104.18.33.204:443#电信优选 | 43.36ms | 0.31mb/s
172.64.151.101:443#电信优选 | 43.51ms | 0.48mb/s
172.64.154.204:443#电信优选 | 44.18ms | 48.77mb/s
172.64.145.145:443#电信优选 | 44.22ms | 34.83mb/s
172.64.156.117:443#电信优选 | 44.40ms | 11.84mb/s
104.18.40.131:443#电信优选 | 44.54ms | 61.42mb/s
104.26.7.202:443#联通优选 | 63.45ms | 16.07mb/s
104.26.9.100:443#联通优选 | 64.44ms | 12.81mb/s
162.159.138.203:443#联通优选 | 65.17ms | 25.85mb/s
162.159.128.45:443#联通优选 | 65.28ms | 15.85mb/s
104.26.3.113:443#联通优选 | 65.39ms | 11.52mb/s
162.159.153.154:443#联通优选 | 65.55ms | 32.46mb/s
104.19.150.17:443#移动优选 | 55.99ms | 0.11mb/s
104.19.41.78:443#移动优选 | 56.28ms | 0.29mb/s
104.19.159.205:443#移动优选 | 61.96ms | 0.15mb/s
104.17.158.225:443#移动优选 | 64.24ms | 0.22mb/s
104.17.50.234:443#移动优选 | 64.68ms | 0.13mb/s
104.17.58.108:443#移动优选 | 67.00ms | 0.24mb/s
172.64.229.209:443#多线优选 | 45.09ms | 14.29mb/s
104.18.46.179:443#多线优选 | 65.96ms | 14.11mb/s
104.18.39.232:443#多线优选 | 67.16ms | 0.26mb/s
104.18.47.84:443#多线优选 | 69.09ms | 15.80mb/s
104.18.34.225:443#多线优选 | 69.54ms | 0.42mb/s
172.64.144.41:443#多线优选 | 69.58ms | 17.14mb/s
